Ticker,ipo_date,Open,High,Low,Close,Adj Close,Volume
RUSTA.ST,2023-10-19,47.900001525878906,47.959999084472656,45.67499923706055,45.69499969482422,45.69499969482422,7297630
SEAF.ST,2023-05-11,18.5,19.75,18.350000381469727,18.549999237060547,18.549999237060547,32343
SEDANA.ST,2023-01-25,25.700000762939453,28.139999389648438,25.700000762939453,27.059999465942383,27.059999465942383,193865
EMBRAC-B.ST,2022-12-22,50.0,51.5,49.41999816894531,50.130001068115234,50.130001068115234,5632736
CS.ST,2022-12-19,21.5,21.549999237060547,21.049999237060547,21.5,21.5,35007
ACRI-B.ST,2022-12-16,7.579999923706055,7.78000020980835,7.559999942779541,7.619999885559082,7.209245681762695,9487
VESTUM.ST,2022-12-13,18.4950008392334,19.979999542236328,17.934999465942383,19.0,19.0,615725
ALLEI.ST,2022-08-31,44.0,45.099998474121094,40.29999923706055,42.79999923706055,41.651668548583984,26165659
SYNACT.ST,2022-07-12,93.0,103.9000015258789,92.0,103.19999694824219,103.19999694824219,142823
ENGCON-B.ST,2022-06-17,53.0,77.98999786376953,53.0,72.0,71.25273132324219,3737025
EMIL-B.ST,2022-06-13,28.225000381469727,28.299999237060547,28.0,28.049999237060547,28.049999237060547,916630
VEFAB.ST,2022-06-01,3.4619998931884766,3.7660000324249268,3.4619998931884766,3.7100000381469727,3.7100000381469727,1622551
NICA.ST,2022-03-29,16.0,16.549999237060547,15.850000381469727,16.100000381469727,16.100000381469727,45720
OX2.ST,2022-04-06,76.25,84.05000305175781,75.0,78.55000305175781,78.55000305175781,716323
MMGR-B.ST,2022-03-31,80.0,80.0,61.0,80.0,79.10111999511719,115148
SLP-B.ST,2022-03-23,37.130001068115234,41.39500045776367,37.0,41.0,41.0,4288551
MANG.ST,2022-02-24,4320.0,4420.0,4120.0,4140.0,4069.03076171875,577
NORVA.ST,2021-12-09,33.0,33.22999954223633,29.524999618530273,31.399999618530273,31.399999618530273,18520014
TDVOX.ST,2021-12-09,34.78499984741211,35.5,30.0,30.0,30.0,2793509
NIVI-B.ST,2021-12-03,92.0,96.0,86.0,96.0,96.0,1611911
KLARA-B.ST,2021-12-02,51.099998474121094,53.869998931884766,45.0,49.060001373291016,49.060001373291016,3416438
SFAB.ST,2021-12-01,55.0,66.0,55.0,60.15999984741211,57.689453125,598871
SYNSAM.ST,2021-10-29,51.5,58.97999954223633,51.38999938964844,54.0,50.46504211425781,7187197
VOLCAR-B.ST,2021-10-29,58.75,67.4000015258789,55.0,65.19999694824219,65.19999694824219,70977504
ISOFOL.ST,2021-10-21,9.0600004196167,9.279999732971191,8.920000076293945,9.15999984741211,9.15999984741211,632399
